№,Код_поставщика,Наименование_поставщика,Код_потребителя,Наименование_потребителя,Тип_связи,Сила_связи,Примечание
1,01.1,Выращивание однолетних культур,10.1,Переработка и консервирование мяса и мясной пищевой продукции,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Переработка и консервирование мяса и мясной пищево"
2,01.1,Выращивание однолетних культур,10.11,Переработка и консервирование мяса,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Переработка и консервирование мяса"
3,01.1,Выращивание однолетних культур,10.12,Производство и консервирование мяса птицы,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство и консервирование мяса птицы"
4,01.1,Выращивание однолетних культур,10.13,Производство продукции из мяса убойных животных и мяса птицы,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство продукции из мяса убойных животных и "
5,01.1,Выращивание однолетних культур,10.2,"Переработка и консервирование рыбы, ракообразных и моллюсков",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Переработка и консервирование рыбы, ракообразных и"
6,01.1,Выращивание однолетних культур,10.20,"Переработка и консервирование рыбы, ракообразных и моллюсков",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Переработка и консервирование рыбы, ракообразных и"
7,01.1,Выращивание однолетних культур,10.3,Переработка и консервирование фруктов и овощей,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Переработка и консервирование фруктов и овощей"
8,01.1,Выращивание однолетних культур,10.31,Переработка и консервирование картофеля,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Переработка и консервирование картофеля"
9,01.1,Выращивание однолетних культур,10.32,Производство соковой продукции из фруктов и овощей,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство соковой продукции из фруктов и овощей"
10,01.1,Выращивание однолетних культур,10.39,Прочие виды переработки и консервирования фруктов и овощей,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Прочие виды переработки и консервирования фруктов "
